num,playerID,yearID,stint,teamID,IgID,W,L,G,GS,CG,SHO,SV,Ipouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,prev_salary,salary
24989,alexado01,1985,1,TOR,AL,17,10,36,36,6,1,0,782,268,100,28,67,142,0.266,3.45,0,9,6,0,1090,0,105,6,3,15,9587413.94357,8515196.28819
24992,anderla02,1985,1,PHI,NL,3,3,57,0,0,0,3,219,78,35,5,26,50,0.274,4.32,4,1,3,1,318,19,41,3,1,4,2744739.64899,2919495.87024
24995,atherke01,1985,1,OAK,AL,4,7,56,0,0,0,3,314,89,50,17,42,77,0.231,4.3,8,2,0,0,435,21,51,3,4,4,1176052.45806,2234630.79734
24999,bannifl01,1985,1,CHA,AL,10,14,34,34,4,1,0,632,211,114,30,100,198,0.262,4.87,5,11,4,0,928,0,121,9,8,20,8888902.35625,11313046.4972
25000,barkele01,1985,1,ATL,NL,2,9,20,18,0,0,0,221,84,52,10,37,47,0.288,6.35,1,3,1,0,335,1,55,4,1,4,9532628.72103,10704818.1909
25004,beattji01,1985,1,SEA,AL,5,6,18,15,1,1,0,211,93,57,9,33,45,0.316,7.29,0,2,3,0,335,1,61,0,5,5,5149810.91826,6994625.52244
25014,blackbu02,1985,1,KCA,AL,10,15,33,33,5,2,0,617,216,99,17,59,122,0.268,4.33,4,9,8,1,885,0,111,8,4,13,5095025.69572,7846145.15126
25015,bluevi01,1985,1,SFN,NL,8,8,33,20,1,0,0,393,115,65,17,80,103,0.24,4.47,1,8,1,2,574,5,70,11,3,7,2739261.12673,5474054.7567
25018,boddimi01,1985,1,BAL,AL,12,17,32,32,9,2,0,610,227,92,13,89,135,0.286,4.07,7,5,5,0,899,0,104,9,2,27,6848152.81683,10187824.1305
25024,boydoi01,1985,1,BOS,AL,15,13,35,35,13,3,0,817,273,112,26,67,154,0.261,3.7,3,1,4,1,1132,0,117,9,7,16,1944875.39998,4561712.29725
25028,brownto05,1985,1,CIN,NL,20,9,38,38,6,4,0,784,242,103,29,73,155,0.245,3.55,8,2,3,0,1083,0,111,13,7,18,657422.670416,2615381.71709
25029,brusswa01,1985,1,CHN,NL,4,3,51,0,0,0,4,223,87,50,8,36,34,0.292,6.05,11,3,3,0,346,20,55,4,5,5,4108891.6901,6994625.52244
25035,butchjo01,1985,1,MIN,AL,11,14,34,33,8,2,0,623,239,115,24,43,92,0.289,4.98,4,5,6,1,893,0,125,6,10,15,3506254.24222,4683357.95851
