num,playerID,yearID,stint,teamID,IgID,G,AB,R,H,B2,B3,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,prev_salary,salary
62260,aguaylu01,1985,1,PHI,NL,91,165,27,46,7,3,6,21,1,0,22,26,5,6,4,3,7,2596819.54814,3345255.68465
62267,almonbi01,1985,1,PIT,NL,88,244,33,66,17,0,6,29,10,7,22,61,0,1,4,3,6,2794046.34927,3162787.19276
62271,armasto01,1985,1,BOS,AL,103,385,50,102,17,5,23,64,0,0,18,90,4,2,0,5,14,10025695.7238,12164566.126
62273,ashbyal01,1985,1,HOU,NL,65,189,20,53,8,0,8,25,0,0,24,27,2,1,1,1,9,4565438.86357,6386397.21614
62276,backmwa01,1985,1,NYN,NL,145,520,77,142,24,5,1,38,30,12,36,72,1,1,14,3,3,2191408.90139,3953483.99095
62278,bailobo01,1985,1,LAN,NL,74,118,8,29,3,1,0,7,1,0,3,5,0,1,8,0,3,3615824.68729,4561712.29725
62279,baineha01,1985,1,CHA,AL,160,640,86,198,29,3,22,113,1,1,42,89,8,1,0,10,23,7396005.04218,9427538.74764
62283,bakerdu01,1985,1,OAK,AL,111,343,48,92,15,1,14,52,2,1,50,47,0,0,0,3,12,6300300.59149,5778168.90984
62284,balbost01,1985,1,KCA,AL,160,600,74,146,28,2,36,88,1,1,52,166,4,5,0,5,14,2246194.12392,6386397.21614
62286,bandoch01,1985,1,CLE,AL,73,173,11,24,4,1,0,13,0,1,22,21,0,0,2,2,6,2465335.01406,2737027.37835
62289,barfije01,1985,1,TOR,AL,155,539,94,156,34,9,27,84,22,8,66,143,5,4,0,3,14,3561039.46475,8819310.44134
62290,barkele01,1985,1,ATL,NL,20,17,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,9532628.72103,10704818.1909
62294,barrema02,1985,1,BOS,AL,156,534,59,142,26,0,5,56,7,5,56,50,3,2,12,4,14,2985794.62814,5291586.26481
62295,basske01,1985,1,HOU,NL,150,539,72,145,27,5,16,68,19,8,31,63,1,6,4,2,10,1698341.89857,3771015.49906
62304,bellbu01,1985,2,CIN,NL,67,247,28,54,15,2,6,36,0,1,34,27,2,0,1,2,10,8231994.66693,10583172.5296
62306,bellge02,1985,1,TOR,AL,157,607,87,167,28,6,28,95,21,6,43,90,6,8,0,8,8,3670609.90982,8819310.44134
62308,benedbr01,1985,1,ATL,NL,70,208,12,42,6,0,0,20,0,1,22,12,1,1,4,2,8,5971589.25628,6872979.86118
62313,bergmda01,1985,1,DET,AL,69,140,8,25,2,0,3,7,0,0,14,15,0,0,1,2,6,2876224.18307,3852116.66142
62314,bernato01,1985,1,CLE,AL,153,500,73,137,26,3,11,59,17,9,69,72,2,1,5,4,11,4382817.80277,7055448.35307
62315,berrada01,1985,1,NYA,AL,48,109,8,25,5,1,1,8,1,1,7,20,0,0,2,0,2,5231988.75206,6781745.61524
62324,bluevi01,1985,1,SFN,NL,33,30,0,4,1,0,0,0,0,0,3,12,0,0,8,0,0,2739261.12673,5474054.7567
62327,bochtbr01,1985,1,OAK,AL,137,424,48,125,17,1,14,60,3,1,49,58,6,0,0,1,14,3834965.57743,6964214.10713
62336,boonebo01,1985,1,CAL,AL,150,460,37,114,17,0,5,55,1,2,37,35,2,3,16,4,12,9675070.29962,10382201.7326
62338,bosleth01,1985,1,CHN,NL,108,180,25,59,6,3,7,27,5,1,20,29,1,0,0,2,3,2355764.56899,3983895.40626
62344,bradlph01,1985,1,SEA,AL,159,641,100,192,33,8,26,88,22,9,55,129,4,12,4,2,14,1369630.56337,5778168.90984
62349,brenlbo01,1985,1,SFN,NL,133,440,41,97,16,1,19,56,1,4,57,62,5,2,4,2,6,4218462.13517,5595700.41796
62352,brockgr01,1985,1,LAN,NL,129,438,64,110,19,0,21,66,4,2,54,72,4,0,2,2,9,1643556.67604,3953483.99095
62353,brookhu01,1985,1,MON,NL,156,605,67,163,34,7,13,100,6,9,34,79,6,5,0,8,20,6026374.47881,7906967.98189
62354,brookto01,1985,1,DET,AL,156,485,54,115,34,6,7,47,14,5,27,78,0,0,9,1,8,2739261.12673,3953483.99095
62357,brownch02,1985,1,SFN,NL,131,432,50,117,20,3,16,61,2,3,38,78,4,11,1,0,19,657422.670416,1885507.74953
62362,brownto05,1985,1,CIN,NL,39,88,4,17,2,1,0,2,0,0,4,29,0,0,9,0,2,657422.670416,2615381.71709
62364,brunato01,1985,1,MIN,AL,157,567,71,137,28,4,27,90,5,3,71,86,7,0,0,13,12,4656743.91545,9001778.93323
62365,brusswa01,1985,1,CHN,NL,51,7,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,4108891.6901,6994625.52244
62368,bucknbi01,1985,1,BOS,AL,162,673,89,201,46,3,16,110,18,4,30,36,5,2,2,11,16,8190390.76893,9549184.4089
62377,bushra01,1985,1,MIN,AL,97,234,26,56,13,3,10,35,3,0,24,30,1,5,0,2,3,1314845.34083,2676204.54772
62380,butlebr01,1985,1,CLE,AL,152,591,106,184,28,14,5,50,47,20,63,42,2,1,8,3,8,4656743.91545,10339881.2071
62388,campri01,1985,1,ATL,NL,66,13,1,3,0,0,1,2,0,0,1,5,0,0,1,0,0,6939457.86871,7298739.67559
62395,carltst01,1985,1,PHI,NL,16,28,2,5,1,0,0,3,0,0,1,8,0,0,1,1,1,11778822.845,12164566.126
62398,cartejo01,1985,1,CLE,AL,143,489,64,128,27,0,15,59,24,6,25,74,2,2,3,4,9,1205274.89576,2311267.56394
62410,chambch01,1985,1,ATL,NL,101,170,16,40,7,0,3,21,0,0,18,22,4,0,0,1,5,8765635.60555,9360049.73477
62426,colemvi01,1985,1,SLN,NL,151,636,107,170,20,10,1,40,110,25,50,115,1,0,5,1,3,657422.670416,1824684.9189
62429,conceda01,1985,1,CIN,NL,155,560,59,141,19,2,7,48,16,12,50,67,3,3,3,4,23,10080480.9464,11191400.8359
62434,coopece01,1985,1,ML4,AL,154,631,82,185,39,8,16,99,10,3,30,77,3,2,1,10,24,12887566.1786,7387808.62877
62440,cowenal01,1985,1,SEA,AL,122,452,59,120,32,5,14,69,0,0,30,56,3,1,0,4,23,4382817.80277,4379243.80536
62442,coxda01,1985,1,SLN,NL,35,79,3,12,1,0,0,6,0,0,4,24,0,1,8,1,1,1205274.89576,4865826.4504
62445,cruzjo01,1985,1,HOU,NL,141,544,69,163,34,4,9,79,16,5,43,74,10,0,0,3,11,8726003.97556,9184247.42512
62446,cruzju01,1985,1,CHA,AL,91,234,28,46,2,3,0,15,8,5,32,40,0,2,1,1,6,13612297.9734,7298739.67559
62447,darliro01,1985,1,NYN,NL,42,76,9,13,4,0,0,0,1,0,4,25,0,0,13,0,0,2520120.23659,5352409.09544
62451,davisal01,1985,1,SEA,AL,155,578,78,166,33,1,18,78,1,2,90,71,7,2,0,7,14,2465335.01406,4865826.4504
62452,davisch01,1985,1,SFN,NL,136,481,53,130,25,2,13,56,15,7,62,74,12,0,1,7,16,6026374.47881,8393550.62693
62455,davisgl01,1985,1,HOU,NL,100,350,51,95,11,0,20,64,0,0,27,68,6,7,2,4,12,657422.670416,1459747.93512
62456,davisjo02,1985,1,CHN,NL,142,482,47,112,30,0,17,58,1,0,48,83,5,0,2,4,14,6026374.47881,10137134.3835
62458,davisma01,1985,1,SFN,NL,77,12,0,3,0,1,0,0,0,1,0,5,0,0,4,0,0,2136623.67885,4257598.1441
62459,davismi02,1985,1,OAK,AL,154,547,92,157,34,1,24,82,24,10,50,99,8,2,3,2,10,3341898.57461,7298739.67559
62464,dawlebi01,1985,1,HOU,NL,49,10,1,2,0,0,0,0,0,0,1,3,0,0,0,0,0,3232328.12955,3953483.99095
62465,dawsoan01,1985,1,MON,NL,139,529,65,135,27,2,23,91,13,4,29,92,8,4,1,7,12,11322275.6715,12736300.7339
62467,dayleke01,1985,1,SLN,NL,57,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1643556.67604,3649369.8378
62468,decindo01,1985,1,CAL,AL,120,427,50,104,22,1,20,78,1,4,47,71,11,2,5,7,17,12052748.9576,14597479.3512
62469,dedmoje01,1985,1,ATL,NL,60,9,0,1,0,0,0,1,0,0,1,3,0,0,1,0,0,1643556.67604,2432913.2252
62474,dempsri01,1985,1,BAL,AL,132,362,54,92,19,0,12,52,0,1,50,87,0,1,5,2,2,5615485.3098,5377541.08905
62476,dernibo01,1985,1,CHN,NL,121,469,63,119,20,3,1,21,31,8,40,44,1,3,7,2,7,4451299.33094,6791878.69882
62484,dipinfr01,1985,1,HOU,NL,54,12,1,2,0,0,0,1,0,0,0,7,0,0,0,0,0,2794046.34927,3406078.51528
62487,doranbi02,1985,1,HOU,NL,148,578,84,166,31,6,14,59,23,15,71,69,6,0,3,5,10,3561039.46475,6690511.36929
62490,downibr01,1985,1,CAL,AL,150,520,80,137,23,1,20,85,5,3,78,61,3,13,5,4,12,8856940.65742,9833020.23032
62491,draveda01,1985,1,SDN,NL,34,69,5,8,1,1,0,1,0,0,4,20,0,0,6,0,0,2629690.68166,4257598.1441
62493,driesda01,1985,2,SFN,NL,54,181,22,42,8,0,3,22,0,0,17,22,3,1,0,3,2,8409531.65907,8515196.28819
62495,duncama01,1985,1,LAN,NL,142,562,74,137,24,6,6,39,38,8,38,113,4,3,13,4,9,657422.670416,1824684.9189
62497,durhale01,1985,1,CHN,NL,153,542,58,153,32,2,21,75,7,6,64,99,24,0,0,1,5,8765635.60555,11961819.3024
62498,dwyerji01,1985,1,BAL,AL,101,233,35,58,8,3,7,36,0,3,37,31,2,1,2,1,5,4108891.6901,4865826.4504
62503,eckerde01,1985,1,CHN,NL,26,56,1,7,0,0,1,1,0,0,7,25,0,0,2,0,0,8217783.3802,9528906.07717
62510,evansda01,1985,1,DET,AL,151,505,81,125,17,0,40,94,0,4,85,85,12,1,1,2,5,11870127.8968,9650551.73843
62511,evansdw01,1985,1,BOS,AL,159,617,110,162,29,1,29,78,7,2,114,105,4,5,1,7,16,8765635.60555,12380572.3267
62516,fernato01,1985,1,TOR,AL,161,564,71,163,31,10,2,51,13,6,43,41,2,2,7,2,12,1397023.17463,3345255.68465
62525,fiskca01,1985,1,CHA,AL,153,543,85,129,23,1,37,107,17,9,52,81,12,17,2,6,9,7505575.48725,10643995.3602
62528,flannti01,1985,1,SDN,NL,126,384,50,108,14,3,1,40,2,5,58,39,1,9,3,2,4,1917482.78871,2331545.89567
62530,flynndo01,1985,1,MON,NL,9,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3834965.57743,3953483.99095
62535,fontera01,1985,1,CHN,NL,38,41,2,2,0,0,0,0,0,0,0,18,0,0,4,0,1,2191408.90139,2919495.87024
62537,fordda01,1985,1,BAL,AL,28,75,4,14,2,0,1,1,0,1,7,17,0,0,0,0,3,4930670.02812,4257598.1441
62538,forscbo01,1985,1,SLN,NL,34,45,3,11,2,1,1,4,0,0,0,10,0,0,2,0,0,6391605.64336,6413585.02144
