num,playerID,yearID,stint,teamID,IgID,G,AB,R,H,B2,B3,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,prev_salary,salary
62260,aguaylu01,1985,1,PHI,NL,91,165,27,46,7,3,6,21,1,0,22,26,5,6,4,3,7,237000,275000
62263,alexado01,1985,1,TOR,AL,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875000,700000
62267,almonbi01,1985,1,PIT,NL,88,244,33,66,17,0,6,29,10,7,22,61,0,1,4,3,6,255000,260000
62269,anderla02,1985,1,PHI,NL,57,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,250500,240000
62271,armasto01,1985,1,BOS,AL,103,385,50,102,17,5,23,64,0,0,18,90,4,2,0,5,14,915000,1000000
62273,ashbyal01,1985,1,HOU,NL,65,189,20,53,8,0,8,25,0,0,24,27,2,1,1,1,9,416667,525000
62274,atherke01,1985,1,OAK,AL,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107333,183700
62276,backmwa01,1985,1,NYN,NL,145,520,77,142,24,5,1,38,30,12,36,72,1,1,14,3,3,200000,325000
62278,bailobo01,1985,1,LAN,NL,74,118,8,29,3,1,0,7,1,0,3,5,0,1,8,0,3,330000,375000
62279,baineha01,1985,1,CHA,AL,160,640,86,198,29,3,22,113,1,1,42,89,8,1,0,10,23,675000,775000
62283,bakerdu01,1985,1,OAK,AL,111,343,48,92,15,1,14,52,2,1,50,47,0,0,0,3,12,575000,475000
62284,balbost01,1985,1,KCA,AL,160,600,74,146,28,2,36,88,1,1,52,166,4,5,0,5,14,205000,525000
62286,bandoch01,1985,1,CLE,AL,73,173,11,24,4,1,0,13,0,1,22,21,0,0,2,2,6,225000,225000
62288,bannifl01,1985,1,CHA,AL,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811250,930000
62289,barfije01,1985,1,TOR,AL,155,539,94,156,34,9,27,84,22,8,66,143,5,4,0,3,14,325000,725000
62290,barkele01,1985,1,ATL,NL,20,17,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,870000,880000
62294,barrema02,1985,1,BOS,AL,156,534,59,142,26,0,5,56,7,5,56,50,3,2,12,4,14,272500,435000
62295,basske01,1985,1,HOU,NL,150,539,72,145,27,5,16,68,19,8,31,63,1,6,4,2,10,155000,310000
62299,beattji01,1985,1,SEA,AL,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470000,575000
62304,bellbu01,1985,2,CIN,NL,67,247,28,54,15,2,6,36,0,1,34,27,2,0,1,2,10,751297,870000
62306,bellge02,1985,1,TOR,AL,157,607,87,167,28,6,28,95,21,6,43,90,6,8,0,8,8,335000,725000
62308,benedbr01,1985,1,ATL,NL,70,208,12,42,6,0,0,20,0,1,22,12,1,1,4,2,8,545000,565000
62313,bergmda01,1985,1,DET,AL,69,140,8,25,2,0,3,7,0,0,14,15,0,0,1,2,6,262500,316667
62314,bernato01,1985,1,CLE,AL,153,500,73,137,26,3,11,59,17,9,69,72,2,1,5,4,11,400000,580000
62315,berrada01,1985,1,NYA,AL,48,109,8,25,5,1,1,8,1,1,7,20,0,0,2,0,2,477500,557500
62322,blackbu02,1985,1,KCA,AL,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465000,645000
62324,bluevi01,1985,1,SFN,NL,33,30,0,4,1,0,0,0,0,0,3,12,0,0,8,0,0,250000,450000
62327,bochtbr01,1985,1,OAK,AL,137,424,48,125,17,1,14,60,3,1,49,58,6,0,0,1,14,350000,572500
62329,boddimi01,1985,1,BAL,AL,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625000,837500
62332,boggswa01,1985,1,BOS,AL,161,653,107,240,42,3,8,78,2,1,96,61,5,4,3,2,20,1000000,1350000
62336,boonebo01,1985,1,CAL,AL,150,460,37,114,17,0,5,55,1,2,37,35,2,3,16,4,12,883000,853479
62338,bosleth01,1985,1,CHN,NL,108,180,25,59,6,3,7,27,5,1,20,29,1,0,0,2,3,215000,327500
62343,boydoi01,1985,1,BOS,AL,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177500,375000
62344,bradlph01,1985,1,SEA,AL,159,641,100,192,33,8,26,88,22,9,55,129,4,12,4,2,14,125000,475000
62349,brenlbo01,1985,1,SFN,NL,133,440,41,97,16,1,19,56,1,4,57,62,5,2,4,2,6,385000,460000
62351,brettge01,1985,1,KCA,AL,155,550,108,184,38,5,30,112,9,1,103,49,31,3,0,9,12,1000000,1471429
62352,brockgr01,1985,1,LAN,NL,129,438,64,110,19,0,21,66,4,2,54,72,4,0,2,2,9,150000,325000
62353,brookhu01,1985,1,MON,NL,156,605,67,163,34,7,13,100,6,9,34,79,6,5,0,8,20,550000,650000
62354,brookto01,1985,1,DET,AL,156,485,54,115,34,6,7,47,14,5,27,78,0,0,9,1,8,250000,325000
62357,brownch02,1985,1,SFN,NL,131,432,50,117,20,3,16,61,2,3,38,78,4,11,1,0,19,60000,155000
62362,brownto05,1985,1,CIN,NL,39,88,4,17,2,1,0,2,0,0,4,29,0,0,9,0,2,60000,215000
62364,brunato01,1985,1,MIN,AL,157,567,71,137,28,4,27,90,5,3,71,86,7,0,0,13,12,425000,740000
62365,brusswa01,1985,1,CHN,NL,51,7,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,375000,575000
62368,bucknbi01,1985,1,BOS,AL,162,673,89,201,46,3,16,110,18,4,30,36,5,2,2,11,16,747500,785000
62377,bushra01,1985,1,MIN,AL,97,234,26,56,13,3,10,35,3,0,24,30,1,5,0,2,3,120000,220000
62378,butchjo01,1985,1,MIN,AL,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320000,385000
62380,butlebr01,1985,1,CLE,AL,152,591,106,184,28,14,5,50,47,20,63,42,2,1,8,3,8,425000,850000
62386,camacer01,1985,1,CLE,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115000,145000
62388,campri01,1985,1,ATL,NL,66,13,1,3,0,0,1,2,0,0,1,5,0,0,1,0,0,633333,600000
62390,candejo01,1985,2,CAL,AL,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612500,800000
62395,carltst01,1985,1,PHI,NL,16,28,2,5,1,0,0,3,0,0,1,8,0,0,1,1,1,1075000,1000000
62397,cartega01,1985,1,NYN,NL,149,555,83,156,17,1,32,100,1,1,69,46,16,6,0,3,18,2028571,2160714
62398,cartejo01,1985,1,CLE,AL,143,489,64,128,27,0,15,59,24,6,25,74,2,2,3,4,9,110000,190000
62403,caudibi01,1985,1,TOR,AL,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833333,1533333
62408,ceyro01,1985,1,CHN,NL,145,500,64,116,18,2,22,63,1,1,58,106,9,4,0,2,10,1450000,1400000
62410,chambch01,1985,1,ATL,NL,101,170,16,40,7,0,3,21,0,0,18,22,4,0,0,1,5,800000,769452
62414,clancji01,1985,1,TOR,AL,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580000,680000
62417,clarkja01,1985,1,SLN,NL,126,442,71,124,26,3,22,87,1,4,83,88,14,2,0,5,10,1555000,1300000
62422,clemero02,1985,1,BOS,AL,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140000,340000
62425,codirch01,1985,1,OAK,AL,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141500,270000
62426,colemvi01,1985,1,SLN,NL,151,636,107,170,20,10,1,40,110,25,50,115,1,0,5,1,3,60000,150000
62429,conceda01,1985,1,CIN,NL,155,560,59,141,19,2,7,48,16,12,50,67,3,3,3,4,23,920000,920000
62434,coopece01,1985,1,ML4,AL,154,631,82,185,39,8,16,99,10,3,30,77,3,2,1,10,24,1176190,607322
62436,corbedo01,1985,1,CAL,AL,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360000,410000
62440,cowenal01,1985,1,SEA,AL,122,452,59,120,32,5,14,69,0,0,30,56,3,1,0,4,23,400000,360000
62442,coxda01,1985,1,SLN,NL,35,79,3,12,1,0,0,6,0,0,4,24,0,1,8,1,1,110000,400000
62443,crawfst01,1985,1,BOS,AL,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160000,330000
62445,cruzjo01,1985,1,HOU,NL,141,544,69,163,34,4,9,79,16,5,43,74,10,0,0,3,11,796383,755000
62446,cruzju01,1985,1,CHA,AL,91,234,28,46,2,3,0,15,8,5,32,40,0,2,1,1,6,1242333,600000
62447,darliro01,1985,1,NYN,NL,42,76,9,13,4,0,0,0,1,0,4,25,0,0,13,0,0,230000,440000
62448,darwida01,1985,1,ML4,AL,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565000,610000
62451,davisal01,1985,1,SEA,AL,155,578,78,166,33,1,18,78,1,2,90,71,7,2,0,7,14,225000,400000
62452,davisch01,1985,1,SFN,NL,136,481,53,130,25,2,13,56,15,7,62,74,12,0,1,7,16,550000,690000
62455,davisgl01,1985,1,HOU,NL,100,350,51,95,11,0,20,64,0,0,27,68,6,7,2,4,12,60000,120000
62456,davisjo02,1985,1,CHN,NL,142,482,47,112,30,0,17,58,1,0,48,83,5,0,2,4,14,550000,833333
62458,davisma01,1985,1,SFN,NL,77,12,0,3,0,1,0,0,0,1,0,5,0,0,4,0,0,195000,350000
62459,davismi02,1985,1,OAK,AL,154,547,92,157,34,1,24,82,24,10,50,99,8,2,3,2,10,305000,600000
62460,davisro02,1985,1,MIN,AL,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650000,725000
62461,davisst02,1985,1,BAL,AL,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437500,510000
62464,dawlebi01,1985,1,HOU,NL,49,10,1,2,0,0,0,0,0,0,1,3,0,0,0,0,0,295000,325000
62465,dawsoan01,1985,1,MON,NL,139,529,65,135,27,2,23,91,13,4,29,92,8,4,1,7,12,1033333,1047000
62467,dayleke01,1985,1,SLN,NL,57,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,150000,300000
62468,decindo01,1985,1,CAL,AL,120,427,50,104,22,1,20,78,1,4,47,71,11,2,5,7,17,1100000,1200000
62469,dedmoje01,1985,1,ATL,NL,60,9,0,1,0,0,0,1,0,0,1,3,0,0,1,0,0,150000,200000
62472,deleojo01,1985,1,PIT,NL,31,36,1,2,0,0,0,0,0,0,3,19,0,0,7,0,0,155000,1825000
62474,dempsri01,1985,1,BAL,AL,132,362,54,92,19,0,12,52,0,1,50,87,0,1,5,2,2,512500,442066
62476,dernibo01,1985,1,CHN,NL,121,469,63,119,20,3,1,21,31,8,40,44,1,3,7,2,7,406250,558333
62484,dipinfr01,1985,1,HOU,NL,54,12,1,2,0,0,0,1,0,0,0,7,0,0,0,0,0,255000,280000
62487,doranbi02,1985,1,HOU,NL,148,578,84,166,31,6,14,59,23,15,71,69,6,0,3,5,10,325000,550000
62489,dotsori01,1985,1,CHA,AL,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,975000
62490,downibr01,1985,1,CAL,AL,150,520,80,137,23,1,20,85,5,3,78,61,3,13,5,4,12,808333,808333
62491,draveda01,1985,1,SDN,NL,34,69,5,8,1,1,0,1,0,0,4,20,0,0,6,0,0,240000,350000
62493,driesda01,1985,2,SFN,NL,54,181,22,42,8,0,3,22,0,0,17,22,3,1,0,3,2,767500,700000
62495,duncama01,1985,1,LAN,NL,142,562,74,137,24,6,6,39,38,8,38,113,4,3,13,4,9,60000,150000
62497,durhale01,1985,1,CHN,NL,153,542,58,153,32,2,21,75,7,6,64,99,24,0,0,1,5,800000,983333
62498,dwyerji01,1985,1,BAL,AL,101,233,35,58,8,3,7,36,0,3,37,31,2,1,2,1,5,375000,400000
